321.85,13012
321.85,152502
321.8,52898
321.85,39141
321.85,415519
321.85,46614
321.85,66928
321.8,7034
321.8,7189
321.8,7372
321.8,7672
321.9,11331
321.9,13148
321.9,13316
321.9,13883
321.9,14306
321.9,17817
321.9,18483
321.9,21363
321.9,26521
321.9,26842
321.9,2961
321.95,10487
321.95,11686
321.95,12482
321.95,12671
321.95,14140
321.95,15938
321.95,16608
321.95,17385
321.95,18477
321.95,236842
321.95,23798
321.95,28734
321.9,52953
321.95,31787
321.95,335880
321.95,3895
321.95,39276
321.95,4589336
321.95,51157
321.95,548177
321.95,5912
321.95,6220
321.95,6602
321.95,9710
321.95,9845
321.9,62973
321.9,8062
321.9,8069
321.9,80932
321.9,9326
321.9,9683
322.0,10145
322.0,10495
322.0,10751
322.0,10843
322.0,116963
322.0,121675
322.0,12677
322.0,12796
322.0,14151
322.0,15163
322.0,15178
322.0,156045
322.0,157514
322.0,16111
322.0,16800
322.0,171355
322.0,17147
322.0,20305
322.0,22408
322.0,23642
322.0,240873
322.0,251637
322.0,26213
322.0,26251
322.0,26405
322.0,28935
322.0,30711
322.0,30784
322.0,36327
322.0,40540
322.0,42585
322.0,4421
322.0,4465
322.0,4995027
322.0,5086
322.05,10166
322.05,10257
322.05,10729
322.05,11076
322.05,117612
322.05,12928
322.05,13744
322.05,13962
322.05,139757
322.05,14309
322.05,14476
322.05,15564
322.05,16134
322.05,16923
322.0,51702
322.05,17030
322.0,5188840
322.05,18956
322.05,19360
322.05,205987
322.05,21501
322.05,24103
322.05,24686
322.05,25876
322.0,5303
322.05,30383
322.05,30912
322.05,323811
322.05,33904
322.0,5340
322.05,35915
322.05,39789
322.05,400607
322.05,42694
322.05,4512
322.05,46293
322.0,5476
322.05,5036
322.05,5738
322.05,6045
322.05,6050
322.0,57318
322.05,7828
322.05,7967
322.05,8580
322.0,5885
322.05,9111
322.05,9578
322.05,9742
322.05,9869
322.0,6464
322.0,70536
322.0,7150
322.0,7217
322.0,72448
322.0,7445
322.0,7475
322.0,7774
322.0,7998
322.0,8174
322.0,8487
322.0,8680
322.0,90483
322.0,9410
322.0,9842
322.0,9961
322.1,10469
322.1,13213
322.1,13820
322.1,14254
322.1,15048
322.1,17585
322.1,190565
322.1,19386
322.1,19971
322.1,24395
322.1,27280
322.1,36627
322.1,38850
322.1,40616
322.15,144193
322.15,167884
322.15,19979
322.15,22153
322.15,24704
322.15,26904
322.15,33028
322.15,6367
322.15,8666
322.15,9023
322.15,9462
322.1,6373
322.1,6414
322.1,82148
322.1,92724
322.1,9370
322.2,12453
322.2,12521
322.2,14240
322.2,162138
322.2,17700
322.2,19142
322.2,3327
322.2,49616
322.25,10724
322.25,12685
322.25,143567
322.25,15963
322.25,16770
322.25,18901
322.25,22360
322.25,22379
322.25,43954
322.25,58081
322.25,6450
322.25,7704
322.25,7725
322.25,77878
322.25,83683
322.25,9599
322.3,108100
322.3,12578
322.3,13190
322.3,14035
322.3,14368
322.3,15044
322.3,17265
322.3,18068
322.3,20942
322.3,21137
322.3,30377
322.3,3990
322.3,4483
322.35,14108
322.35,14930
322.35,183202
322.35,195963
322.35,25190
322.35,37413
322.35,3875
322.35,4204
322.35,4489
322.35,50500
322.35,7243
322.35,7564
322.35,8922
322.3,6838
322.3,7290
322.3,7410
322.3,75020
322.3,7852
322.4,10854
322.4,11264
